#SampleID
#q2:types
Sp1of27EMP
Sp2of27EMP
Sp3of27EMP
Sp4of27EMP
Sp5of27EMP
Sp6of27EMP
Sp7of27EMP
Sp8of27EMP
Sp9of27EMP
Sp10of27EMP
Sp11of27EMP
Sp12of27EMP
Sp13of27EMP
Sp14of27EMP
Sp15of27EMP
Sp16of27EMP
Sp17of27EMP
Sp18of27EMP
Sp19of27EMP
Sp20of27EMP
Sp21of27EMP
Sp22of27EMP
Sp23of27EMP
Sp24of27EMP
Sp25of27EMP
Sp26of27EMP
Sp27of27EMP
chloroEMP
